IPA_Number,Symbol,Symbol_Name,Description,Voicing,Place_of_Articulation,Manner_of_Articulation,Height,Backness,Rounding,Status,UCS_Code,AFII_Code
143,ʁ,inverted small capital R,,voiced,uvular,fricative,,,,,0281,E2E9
144,ħ,barred H,,voiceless,pharyngeal,fricative,,,,,0127,E2EB
145,ʕ,reversed glottal stop,,voiced,pharyngeal,fricative;approximant,,,,,0295,E2EC
146,h,lower-case H,,voiceless,glottal,fricative,,,,,0068,E2EE
147,ɦ,hooktop G,,voiced,glottal,fricative,,,,,0266,E2EF
148,ɬ,belted L,,voiceless,dental;alveolar,lateral fricative,,,,,026C,E2BB
149,ɮ,L-ezh ligature,,voiced,dental;alveolar,lateral fricative,,,,,026E,E2BC
150,ʋ,cursive V,,voiced,labiodental,approximant,,,,,028B,E2AE
151,ɹ,turned R,,voiced,dental;alveolar,approximant,,,,,0279,E2BA
152,ɻ,"turned R, right tail",,voiced,retroflex,approximant,,,,,027B,E2CB
153,j,lower-case J,,voiced,palatal,approximant,,,,,006A,E2DB
154,ɰ,"turned M, right leg",,voiced,velar,approximant,,,,,0270,E2E2
155,l,lower-case L,,voiced,dental;alveolar,lateral approximant,,,,,006C,E2BD
156,ɭ,right-tail L,,voiced,retroflex,lateral approximant,,,,,026D,E2CC
157,ʎ,turned Y,,voiced,palatal,lateral approximant,,,,,028E,E2DC
158,ʟ,small capital L,,voiced,velar,lateral approximant,,,,,029F,E2F5
159,ƥ,hooktop P,,voiceless,bilabial,implosive,,,,withdrawn (1993),01A5,2378
160,ɓ,hooktop B,,voiced,bilabial,implosive,,,,,0253,E2A9
161,ƭ,hooktop T,,voiceless,dental;alveolar,implosive,,,,withdrawn (1993),01AD,2379
162,ɗ,hooktop D,,voiced,dental;alveolar,implosive,,,,,0257,E2C2
163,ƈ,hooktop C,,voiceless,palatal,implosive,,,,withdrawn (1993),0188,2376
164,ʄ,hooktop barred dotless J,,voiced,palatal,implosive,,,,,0284,E27C
165,ƙ,hooktop K,,voiceless,velar,implosive,,,,withdrawn (1993),0199,2363
166,ɠ,hooktop G,,voiced,velar,implosive,,,,,0260,E27E
167,ʠ,hooktop Q,,voiceless,uvular,implosive,,,,withdrawn (1993),02A0,E2F6
168,ʛ,hooktop small capital G,,voiced,uvular,implosive,,,,,029B,E2F1
169,ʍ,turned W,,voiceless,labial-velar,fricative,,,,,028D,E2A7
170,w,lower-case W,,voiced,labial-velar,approximant,,,,,0077,E2A8
171,ɥ,turned H,,voiced,labial-palatal,approximant,,,,,0265,E2A6
172,ʜ,small capital H,,voiceless,epiglottal,fricative,,,,,029C,E2F2
173,ʡ,barred glottal stop,,,epiglottal,plosive,,,,,02A1,E2F7
174,ʢ,barred reversed glottal stop,,voiced,epiglottal,fricative;approximant,,,,,02A2,E2F8
175,ɧ,hooktop heng,,voiceless,simultaneous postalveolar and velar,fricative,,,,,0267,E2D6
176,ʘ,bull’s eye,,,bilabial,click,,,,,0298,E2AA
177,ǀ,pipe,,,dental,click,,,,,01C0,23A6
178,ǃ,exclamation point,,,(post)alveolar,click,,,,,01C3,23A5
179,ǂ,double-barred pipe,,,palatoalveolar,click,,,,,01C2,23A4
180,ǁ,double pipe,,,alveolar,lateral click,,,,,01C1,23A7
181,ɺ,turned long-leg R,,voiced,alveolar,lateral flap,,,,,027A,E2BF
182,ɕ,curly-tail C,,voiceless,alveolo-palatal,fricative,,,,,0255,E2CE
183,ʑ,curly-tail Z,,voiced,alveolo-palatal,fricative,,,,,0291,E2CF
184,ⱱ,right-hook V,,voiced,labiodental,flap,,,,adopted (2005),2C71,
201,ʇ,turned T,,,dental,click,,,,superseded by 177 (1989),0287,E2C3
202,ʗ,stretched C,,,postalveolar,click,,,,superseded by 178 (1989),0297,E2C4
203,ʖ,inverted glottal stop,,,alveolar,lateral click,,,,superseded by 180 (1989),0296,E2C5
204,ʆ,curly-tail esh,,,,,,,,withdrawn (1989),0286,E2D2
205,ʓ,curly-tail ezh,,,,,,,,withdrawn (1989),0293,E2D3
206,ɼ,long-leg R,,,,,,,,withdrawn (1989),027C,E2BE
207,ˢ,superscript S,,,,,,,,withdrawn (1989),02E2,FDA7
208,ƫ,left-hook T,palatalized,voiceless,dental;alveolar,plosive,,,,withdrawn (1989),01AB,E2A0
209,ɫ,L with tilde,velarized,voiced,dental;alveolar,lateral approximant,,,,,026B,E27D
210,g,looptail G,,voiced,velar,plosive,,,,equivalent to 110,0067,E2E3
211,ʦ,T-S ligature,,voiceless,dental;alveolar,affricate,,,,superseded by 103+132,02A6,E2FC
212,ʣ,D-Z ligature,,voiced,alveolar,affricate,,,,superseded by 104+133,02A3,E2F9
213,ʧ,T-esh ligature,,voiceless,postalveolar,affricate,,,,superseded by 103+134,02A7,E2FD
214,ʤ,D-ezh ligature,,voiced,postalveolar,affricate,,,,superseded by 104+135,02A4,E2FA
215,ʨ,T-curly-tail-C ligature,,voiceless,alveolo-palatal,affricate,,,,superseded by 103+182,02A8,E2FE
216,ʥ,D-curly-tail-Z ligature,,voiced,alveolo-palatal,affricate,,,,superseded by 104+183,02A5,E2FB
217,ᶿ,superscript theta,,voiceless,dental,fricative release,,,,,1DBF,E21B
218,ᵊ,superscript schwa,,,,release,mid,central,,,1D4A,E21A
219,ᶑ,hooktop right-tail-D,,voiced,retroflex,imposive,,,,not explicitly IPA approved,1D91,E219
220,ȶ,curly-tail T,,voiceless,alveolo-palatal,stop,,,,not explicitly IPA approved,0236,
221,ȡ,curly-tail D,,voiced,alveolo-palatal,stop,,,,not explicitly IPA approved,0221,
222,ȵ,curly-tail N (at right),,voiced,alveolo-palatal,nasal,,,,not explicitly IPA approved,0235,
290,ƻ,barred two,,,,,,,,withdrawn (1976),01BB,E2B5
291,ʞ,turned K,,,,,,,,withdrawn (1979),029E,E2F4
292,ˣ,superscript X,,voiceless,velar,fricative release,,,,,02E3,D56F
293,ƞ,"N, right leg",syllabic,,nasal,,,,,withdrawn (1976),019E,E2E5
294,ƛ,barred lambda,,voiceless,dental;alveolar,lateral affricate,,,,not IPA usage,019B,FD7B
295,λ,lambda,,voiceless,dental;alveolar,lateral fricative,,,,not IPA usage,03BB,266E
296,ž,Z wedge,,voiced,postalveolar,,,,,not IPA usage,017E,F1F0
297,š,S wedge,,voiceless,postalveolar,fricative,,,,not IPA usage,0161,F1DC
298,ǰ,J wedge,,voiced,postalveolar,affricate,,,,not IPA usage,01F0,E290
299,č,C wedge,,voiceless,postalveolar,affricate,,,,not IPA usage,010D,F1AE
301,i,lower-case I,,,,,close,front,unrounded,,0069,E251
302,e,lower-case E,,,,,close-mid,front,unrounded,,0065,E256
303,ɛ,epsilon,,,,,open-mid,front,unrounded,,025B,E258
304,a,lower-case A,,,,,open,front,unrounded,,0061,E25B
305,ɑ,script A,,,,,open,back,unrounded,,0251,E26C
306,ɔ,open O,,,,,open-mid,back,rounded,,0254,E26B
307,o,lower-case O,,,,,close-mid,back,rounded,,006F,E269
308,u,lower-case U,,,,,close,back,rounded,,0075,E265
309,y,lower-case Y,,,,,close,front,rounded,,0079,E252
310,ø,slashed O,,,,,close-mid,front,rounded,,00F8,E257
311,œ,lower-case O-E ligature,,,,,open-mid,front,rounded,,0153,E259
312,ɶ,small capital O-E ligature,,,,,open,front,rounded,,0276,E25C
313,ɒ,turned script A,,,,,open,back,rounded,,0252,E26D
314,ʌ,turned V,,,,,open-mid,back,unrounded,,028C,E26A
315,ɤ,ram’s horns,,,,,close-mid,back,unrounded,,0264,E268
316,ɯ,turned M,,,,,close,back,unrounded,,026F,E264
317,ɨ,barred I,,,,,close,central,unrounded,,0268,E25D
318,ʉ,barred U,,,,,close,central,rounded,,0289,E25E
319,ɪ,small capital I,,,,,near-close,near-front,unrounded,,026A,E254
320,ʏ,small capital Y,,,,,near-close,near-front,rounded,,028F,E255
321,ʊ,upsilon,,,,,near-close,near-back,rounded,,028A,E267
322,ə,schwa,,,,,mid,central,,,0259,E25F
323,ɵ,barred O,,,,,close-mid,central,rounded,,0275,E261
324,ɐ,turned A,,,,,near-open,central,,,0250,E263
325,æ,ash;lower-case A-E ligature,,,,,near-open,front,unrounded,,00E6,E25A
326,ɜ,reversed epsilon,,,,,open-mid,central,unrounded,,025C,E262
327,ɚ,right-hook schwa,R-coloured,,,,mid,central,,equivalent to 322+419,025A,E260
394,ı,undotted I,,,,,,,,not IPA usage,0131,00F5
395,ɞ,closed reversed epsilon,,,,,open-mid,central,rounded,,025E,E270
396,ʚ,closed epsilon,,,,,open-mid,central,rounded,superseded by 395 (1996),029A,E273
397,ɘ,reversed E,,,,,close-mid,central,unrounded,,0258,E26E
398,ɷ,closed omega,,,,,near-close,near-back,rounded,superseded by 321 (1989),0277,E266
399,ɩ,iota,,,,,near-close,near-front,unrounded,superseded by 319 (1989),0269,E253
