Symbol,Voicing,Place_of_Articulation,Manner_of_Articulation,Height,Backness,Rounding
ǰ,voiced,postalveolar,affricate,,,
č,voiceless,postalveolar,affricate,,,
i,,,,close,front,unrounded
e,,,,close-mid,front,unrounded
ɛ,,,,open-mid,front,unrounded
a,,,,open,front,unrounded
ɑ,,,,open,back,unrounded
ɔ,,,,open-mid,back,rounded
o,,,,close-mid,back,rounded
u,,,,close,back,rounded
y,,,,close,front,rounded
ø,,,,close-mid,front,rounded
œ,,,,open-mid,front,rounded
ɶ,,,,open,front,rounded
ɒ,,,,open,back,rounded
ʌ,,,,open-mid,back,unrounded
ɤ,,,,close-mid,back,unrounded
ɯ,,,,close,back,unrounded
ɨ,,,,close,central,unrounded
ʉ,,,,close,central,rounded
ɪ,,,,near-close,near-front,unrounded
ʏ,,,,near-close,near-front,rounded
ʊ,,,,near-close,near-back,rounded
ə,,,,mid,central,
ɵ,,,,close-mid,central,rounded
ɐ,,,,near-open,central,
æ,,,,near-open,front,unrounded
ɜ,,,,open-mid,central,unrounded
ɚ,,,,mid,central,
ɞ,,,,open-mid,central,rounded
ʚ,,,,open-mid,central,rounded
ɘ,,,,close-mid,central,unrounded
ɷ,,,,near-close,near-back,rounded
ɩ,,,,near-close,near-front,unrounded
