Symbol,Symbol_Name,Voicing,Place_of_Articulation,Manner_of_Articulation,Height,Backness,Rounding
ɫ,L with tilde,voiced,dental;alveolar,lateral approximant,,,
g,looptail G,voiced,velar,plosive,,,
ʦ,ts ligature,voiceless,dental;alveolar,affricate,,,
ʣ,dz ligature,voiced,alveolar,affricate,,,
ʧ,tsh ligature,voiceless,postalveolar,affricate,,,
ʤ,dzh ligature,voiced,postalveolar,affricate,,,
ʨ,T-curly-tail-C ligature,voiceless,alveolo-palatal,affricate,,,
ʥ,D-curly-tail-Z ligature,voiced,alveolo-palatal,affricate,,,
ᶑ,hooktop right-tail-D,voiced,retroflex,imposive,,,
ȶ,curly-tail T,voiceless,alveolo-palatal,stop,,,
ȡ,curly-tail D,voiced,alveolo-palatal,stop,,,
ȵ,curly-tail N (at right),voiced,alveolo-palatal,nasal,,,
ƛ,barred lambda,voiceless,dental;alveolar,lateral affricate,,,
λ,lambda,voiceless,dental;alveolar,lateral fricative,,,
ž,Z wedge,voiced,postalveolar,,,,
š,S wedge,voiceless,postalveolar,fricative,,,
ǰ,J wedge,voiced,postalveolar,affricate,,,
č,C wedge,voiceless,postalveolar,affricate,,,
i,I,,,,close,front,unrounded
e,E,,,,close-mid,front,unrounded
ɛ,epsilon,,,,open-mid,front,unrounded
a,A,,,,open,front,unrounded
ɑ,script A,,,,open,back,unrounded
ɔ,open O,,,,open-mid,back,rounded
o,O,,,,close-mid,back,rounded
u,U,,,,close,back,rounded
y,Y,,,,close,front,rounded
ø,slashed O,,,,close-mid,front,rounded
œ,oe,,,,open-mid,front,rounded
ɶ,oe,,,,open,front,rounded
ɒ,turned script A,,,,open,back,rounded
ʌ,turned V,,,,open-mid,back,unrounded
ɤ,ram’s horns,,,,close-mid,back,unrounded
ɯ,turned M,,,,close,back,unrounded
ɨ,barred I,,,,close,central,unrounded
ʉ,barred U,,,,close,central,rounded
ɪ,small capital I,,,,near-close,near-front,unrounded
ʏ,small capital Y,,,,near-close,near-front,rounded
ʊ,upsilon,,,,near-close,near-back,rounded
ə,schwa,,,,mid,central,
ɵ,barred O,,,,close-mid,central,rounded
ɐ,turned A,,,,near-open,central,
æ,ash;A-E ligature,,,,near-open,front,unrounded
ɜ,reversed epsilon,,,,open-mid,central,unrounded
ɚ,right-hook schwa,,,,mid,central,
ı,undotted I,,,,,,
ɞ,closed reversed epsilon,,,,open-mid,central,rounded
ʚ,closed epsilon,,,,open-mid,central,rounded
ɘ,reversed E,,,,close-mid,central,unrounded
ɷ,closed omega,,,,near-close,near-back,rounded
ɩ,iota,,,,near-close,near-front,unrounded
